אול מאונטיין
מרוץ 3 עונת 2013 - יער חוף הכרמל - 11-05-2013

ספרינט 40-50
מקום,מספר,שם,פער,מקצה 1,מקצה 2,זמן
1,82,גלילי זוהר,,2:53.727,2:50.037,2:50.037
2,77,דותן ירון,5.524,2:58.360,2:55.561,2:55.561
3,79,הימן שגיא,6.581,3:06.641,2:56.618,2:56.618
4,81,כהן תומר,9.577,3:01.096,2:59.614,2:59.614
5,80,אביב יגאל,16.838,3:11.370,3:06.875,3:06.875
6,78,רוזנברוך גיא,21.276,3:11.313,3:14.253,3:11.313
ספרינט 50+
מקום,מספר,שם,פער,מקצה 1,מקצה 2,זמן
1,85,יותם דן,,3:05.375,3:24.707,3:05.375
2,86,גרוסמן יצחק,9.297,3:21.560,3:14.672,3:14.672
ספרינט 8-9
מקום,מספר,שם,פער,מקצה 1,מקצה 2,זמן
1,93,רוזנבלום עומר,,4:12.727,3:34.744,3:34.744
2,116,עוזיאל אורי,31.190,4:13.130,4:05.934,4:05.934
ספרינט 10-11
מקום,מספר,שם,פער,מקצה 1,מקצה 2,זמן
1,115,דנון יהלי,,3:24.691,3:17.150,3:17.150
2,91,רפפורט יואב,6.858,3:24.008,3:36.065,3:24.008
3,95,קלנר עומר,11.785,3:35.801,3:28.935,3:28.935
4,96,סמירנוב דן,19.749,3:41.942,3:36.899,3:36.899
5,99,קינן רועי,20.998,3:44.806,3:38.148,3:38.148
6,90,פלג שחר,25.905,3:45.306,3:43.055,3:43.055
7,92,ינאי עומר,26.006,3:43.156,3:46.254,3:43.156
8,98,שמבן אורי,26.858,3:44.008,3:49.759,3:44.008
9,94,אביתר עומר,40.328,3:57.478,4:11.295,3:57.478
10,114,אביבי רועי,1:10.906,4:48.135,4:28.056,4:28.056
11,112,גרבר אושר,1:15.940,4:33.090,,4:33.090
12,97,אתר ניב,1:41.706,,4:58.856,4:58.856
ספרינט 12-13
מקום,מספר,שם,פער,מקצה 1,מקצה 2,זמן
1,107,פרידריך רון,,2:56.645,2:56.674,2:56.645
2,100,דור מתן,7.952,3:04.597,3:09.718,3:04.597
3,150,דוברת נדב,22.929,3:22.683,3:19.574,3:19.574
4,105,סרט ניר,26.116,3:23.378,3:22.761,3:22.761
5,110,זיו עופרי,27.426,3:24.071,3:31.159,3:24.071
6,109,גבעון קאי,27.589,3:27.623,3:24.234,3:24.234
7,149,שמבן גור,27.893,3:34.100,3:24.538,3:24.538
8,106,סרט אלון,33.096,3:31.961,3:29.741,3:29.741
9,108,ברגר ריף,45.567,3:42.212,3:51.747,3:42.212
10,102,מושיוף אפק,46.065,3:42.710,3:44.206,3:42.710
11,103,אלרואי יואב,55.644,3:54.583,3:52.289,3:52.289
לא סיים - מקצה 1 - DNF
,111,כהן אלעד,,,,
ספרינט 14-15
מקום,מספר,שם,פער,מקצה 1,מקצה 2,זמן
1,132,שולץ עיטם,,2:43.088,2:43.870,2:43.088
2,121,גלעדי דולב,0.047,2:49.143,2:43.135,2:43.135
3,134,אורן טל,0.675,2:43.763,2:54.332,2:43.763
4,130,פלקסמן נועם,3.703,2:50.933,2:46.791,2:46.791
5,129,נחום אוהד,4.154,2:47.242,2:49.916,2:47.242
6,120,סבן איתי,6.086,2:49.174,2:53.625,2:49.174
7,136,שדה ארז,6.410,2:51.734,2:49.498,2:49.498
8,124,לולאי עמית,6.477,2:49.565,2:52.126,2:49.565
9,123,דורופייב תום,7.594,3:10.882,2:50.682,2:50.682
10,138,אמיתי תום,10.518,2:59.122,2:53.606,2:53.606
11,65,קאופמן איתמר,10.923,2:54.011,,2:54.011
12,137,ורדי עומר,12.842,3:05.591,2:55.930,2:55.930
13,125,אביתר נועם,14.490,2:57.894,2:57.578,2:57.578
14,128,אדלר מרק,20.942,3:04.776,3:04.030,3:04.030
15,133,איראל יוגב,21.516,3:05.084,3:04.604,3:04.604
16,127,בן צבי תומר,37.785,3:20.873,3:32.604,3:20.873
17,139,סוירי ערן,43.728,3:26.816,3:32.262,3:26.816
18,126,חסין יוסי,59.217,3:47.050,3:42.305,3:42.305
לא סיים - מקצה 1 - DNF
,65,קאופמן איתמר,,2:54.011,,
ספרינט 20-30
מקום,מספר,שם,פער,מקצה 1,מקצה 2,זמן
1,29,יפרח אלי,,2:35.766,2:36.044,2:35.766
2,14,רומן צפרק,6.623,2:45.552,2:42.389,2:42.389
3,23,אחיאסף עמית,9.063,2:50.021,2:44.829,2:44.829
4,17,חנוכייב גינדי,11.137,2:46.903,2:59.373,2:46.903
5,24,טל מאיר,12.803,2:48.569,2:51.769,2:48.569
6,27,בן יעקב גל,14.025,2:58.807,2:49.791,2:49.791
7,28,פורטל רונן,15.756,2:51.522,2:54.082,2:51.522
8,22,מאירוביץ ג'ני,16.061,2:59.985,2:51.827,2:51.827
9,16,פישלר ספי,17.082,2:52.848,2:54.381,2:52.848
10,19,להט אביב,17.828,2:57.061,2:53.594,2:53.594
11,26,חיימוביץ אלעד,24.605,3:00.371,3:00.395,3:00.371
12,20,טופז נדב,40.691,3:44.871,3:16.457,3:16.457
ספרינט 30-40
מקום,מספר,שם,פער,מקצה 1,מקצה 2,זמן
1,40,קוליקוב דימה,,2:36.205,2:49.091,2:36.205
2,47,יהושע רז,6.293,2:48.902,2:42.498,2:42.498
3,33,שינדלר אנדריי,7.397,2:43.602,2:44.064,2:43.602
4,49,מיליס שחר,7.560,2:43.765,2:46.910,2:43.765
5,43,האוזר שמוליק,7.885,2:44.090,2:57.530,2:44.090
6,34,ויסבקר אסף,7.929,2:56.261,2:44.134,2:44.134
7,44,אבא יוליאן,12.841,2:49.046,2:49.186,2:49.046
8,38,שריבמן גיל,13.129,2:53.545,2:49.334,2:49.334
9,54,בן עמי שחר,23.762,3:03.979,2:59.967,2:59.967
10,41,חמו ליעוז,24.092,3:04.467,3:00.297,3:00.297
11,42,הירשהאוט מוטי,25.162,3:02.944,3:01.367,3:01.367
12,6,שמש עירא,25.973,,3:02.178,3:02.178
13,31,אוטייבסקי מקס,26.805,3:03.010,3:05.802,3:03.010
14,53,נגרון אביב,26.963,3:03.966,3:03.168,3:03.168
15,48,נזרי נתי,29.993,3:07.891,3:06.198,3:06.198
16,25,קליימן אריק,32.914,3:09.119,,3:09.119
17,52,ברנר פז,35.062,3:16.500,3:11.267,3:11.267
18,51,ואן דר וולט גארט,36.190,3:14.789,3:12.395,3:12.395
19,50,וסרמן שחר,39.463,,3:15.668,3:15.668
20,45,כהן אלדד,58.748,3:34.953,3:45.526,3:34.953
לא סיים - מקצה 1 - DNF
,39,ג'ייקוב סאם,,,,
,46,וייסבקר אוהד,,,,
,50,וסרמן שחר,,,3:15.668,
פרו גברים 16+
מקום,מספר,שם,פער,מקצה 1,מקצה 2,זמן
1,1,בר גיא,,2:27.672,2:28.182,2:27.672
2,12,יתום יונתן,0.506,2:28.178,2:28.694,2:28.178
3,18,שפיר אבנר,1.405,2:29.077,2:29.781,2:29.077
4,7,רפקין דימה,2.369,2:32.602,2:30.041,2:30.041
5,8,גוב אור,5.873,2:36.984,2:33.545,2:33.545
6,15,שושני זוהר,8.805,,2:36.477,2:36.477
7,4,זינגר תמיר,9.097,2:41.120,2:36.769,2:36.769
8,3,פטורי אלדד,10.168,2:39.188,2:37.840,2:37.840
9,2,ברדלי יונתן,10.857,2:38.529,2:45.973,2:38.529
10,21,דוידסון אורי,11.128,2:39.136,2:38.800,2:38.800
11,5,ביבאס ניר,11.270,2:39.270,2:38.942,2:38.942
12,63,פרידמן אדם,11.996,2:44.075,2:39.668,2:39.668
13,13,צ'פרק דניאל,14.351,2:46.068,2:42.023,2:42.023
14,64,גוזלן דניאל,18.806,2:48.582,2:46.478,2:46.478
15,10,זינדר נעם,19.798,2:47.696,2:47.470,2:47.470
16,11,להט בני,31.737,2:59.409,3:01.602,2:59.409
לא סיים - מקצה 1 - DNF
,15,שושני זוהר,,,2:36.477,

© כל הזכויות שמורות לתנועה מדידת זמנים
