אול מאונטיין
מרוץ 3 עונת 2014 - יער חוף כרמל - 03-05-2014
אנדורו
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,מקצה 4,זמן
1,1,בר גיא,,2:20.632,2:21.548,2:23.026,2:24.515,9:29.721
2,9,יתום יונתן,1.460,2:17.606,2:25.568,2:26.383,2:21.624,9:31.181
3,5,רפקין דימה,13.595,2:20.445,2:31.039,2:25.223,2:26.609,9:43.316
4,3,גוב אור,17.972,2:26.700,2:26.059,2:28.258,2:26.676,9:47.693
5,4,שושני זהר,19.339,2:25.038,2:26.625,2:28.116,2:29.281,9:49.060
6,12,שולץ עיטם,34.785,2:28.306,2:31.559,2:33.295,2:31.346,10:04.506
7,163,בן חמו אוהד,36.923,2:28.974,2:31.512,2:31.146,2:35.012,10:06.644
8,7,שחר גיל,1:15.227,2:37.477,2:38.785,2:45.328,2:43.358,10:44.948
9,87,שמבן איתי,2:15.212,2:53.553,2:54.186,3:00.298,2:56.896,11:44.933
10,247,מילוא מתן,2:44.411,3:01.146,3:01.644,3:07.968,3:03.374,12:14.132
לא סיים - מקצה 3 - DNF
,11,ברדלי יונתן,,2:30.093,,,,
,53,גרטי אבירם,,3:31.348,,,,
,116,סמירנוב דן,,3:04.168,,,,
אנדורו צ'אלנג'
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,173,גלעדי דולב,,2:28.731,2:31.295,2:51.621,7:51.647
2,108,גלילי זוהר,6.953,2:41.479,2:40.696,2:36.425,7:58.600
3,195,זכור לאי,10.473,2:41.543,2:40.753,2:39.824,8:02.120
4,207,דהן יניב,13.390,2:38.544,2:41.845,2:44.648,8:05.037
5,35,הרשקוביץ גיא,17.992,2:36.348,2:41.074,2:52.217,8:09.639
6,51,שינדלר אנדריי,19.169,2:43.319,2:43.976,2:43.521,8:10.816
7,31,בן יעקוב גל,20.878,2:42.940,2:43.496,2:46.089,8:12.525
8,251,שוסטר שקד,22.542,2:42.828,2:47.073,2:44.288,8:14.189
9,34,אחיאסף עמית,22.815,2:42.234,2:48.602,2:43.626,8:14.462
10,210,שריבמן גיל,30.773,2:46.765,2:47.298,2:48.357,8:22.420
11,201,חלייחל ג'עפר,42.508,2:49.411,2:52.861,2:51.883,8:34.155
12,265,בר לוין נמרוד,56.540,2:58.143,2:56.447,2:53.597,8:48.187
13,143,סרט ניר,1:02.189,2:50.644,2:55.936,3:07.256,8:53.836
14,62,יעקוב תמיר,1:24.549,2:58.984,3:08.467,3:08.745,9:16.196
15,171,נחשון יובל,1:34.443,3:06.130,3:07.935,3:12.025,9:26.090
16,262,קליימן אריק,1:38.466,2:58.891,3:19.933,3:11.289,9:30.113
17,164,קרויז פיליפ,1:42.313,3:07.495,3:10.900,3:15.565,9:33.960
18,249,רפקין יוליה,1:43.692,3:11.892,3:12.036,3:11.411,9:35.339
