אול מאונטיין
מרוץ 5 עונת 2016 - כפר החורש - 05-11-2016

אינדורו פרו
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,עונשין,פער
1,1,יונתן יתום,3:24.129,3:27.578,3:22.880,10:14.587,,
2,9,יואב דרור,3:21.813,3:26.480,3:27.788,10:16.081,,1.494
3,14,יונתן מעיין,3:27.654,3:25.094,3:30.834,10:23.582,,8.995
4,8,זלצמן תומר,3:40.566,3:37.115,3:35.300,10:52.981,,38.394
5,10,אבנר שפיר,3:38.663,3:38.605,3:37.574,10:54.842,,40.255
6,6,טל אורן,3:42.491,3:39.284,3:38.214,10:59.989,,45.402
7,13,דני בלבן,3:40.852,3:43.761,3:41.068,11:05.681,,51.094

אינדורו נשים
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,עונשין,פער
1,228,נעמה נוימן,4:19.651,4:07.573,8:27.224,,
2,277,סתו גינת,4:19.381,4:14.825,8:34.206,,6.982
3,23,מיכל רייס סהר,4:38.325,4:39.422,9:17.747,,50.523
4,26,ירדן בראל,4:51.713,4:40.265,9:31.978,,1:04.754
5,27,yasmine adel,5:17.585,5:16.057,10:33.642,,2:06.418
אינדורו צ'אלנג' 12-13
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,עונשין,פער
1,110,דורון מדובר,4:11.246,4:12.668,8:23.914,,
2,234,סער אילן,4:24.839,4:29.250,9:44.089,50.000,1:20.175
אינדורו צ'אלנג' 14-15
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,עונשין,פער
1,55,תומר מלאכי,3:43.825,3:38.159,7:21.984,,
2,51,רועי קינן,3:42.372,3:42.444,7:24.816,,2.832
3,95,נדב עמר,3:49.453,3:46.868,7:36.321,,14.337
4,59,יואב משה,3:55.277,3:54.693,7:49.970,,27.986
5,275,עומר אביתר,3:57.767,3:53.387,7:51.154,,29.170
6,236,עידו אשל,4:05.660,4:02.372,8:08.032,,46.048
7,111,תומר זליג,4:07.118,4:03.804,8:10.922,,48.938
8,82,עומרי סלע,4:08.110,4:05.571,8:13.681,,51.697
9,44,גיא סגל,3:48.107,3:51.939,8:20.046,40.000,58.062
10,166,אילון כהן,4:15.473,4:08.974,8:24.447,,1:02.463
11,253,איתמר שיק,4:14.418,4:10.069,8:24.487,,1:02.503
12,161,גלעד שגב,4:24.320,4:29.699,8:54.019,,1:32.035
13,160,יניר הראל,4:40.037,4:39.039,9:19.076,,1:57.092
14,252,ניר חזנוביץ,4:50.002,4:52.871,9:42.873,,2:20.889
15,89,נטע שהרבני,4:59.619,4:55.658,9:55.277,,2:33.293
16,276,מוחמד זובידאת,4:21.421,5:58.842,10:20.263,,2:58.279
אינדורו צ'אלנג' 16-17
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,עונשין,פער
1,33,לאי זכור,3:31.778,3:29.155,7:00.933,,
2,37,נועם אביתר,3:34.803,3:35.253,7:10.056,,9.123
3,39,מאור גולד,3:38.909,3:36.538,7:15.447,,14.514
4,268,יותם ויסמן,3:37.020,3:38.961,7:15.981,,15.048
5,217,רון קדשאי,3:46.779,3:40.646,7:27.425,,26.492
6,102,אלעד לביא,3:44.594,3:43.102,7:27.696,,26.763
7,180,גל אברהמי,3:45.748,3:46.420,7:32.168,,31.235
8,50,שי כהן סולל עמר,3:52.539,3:55.444,7:47.983,,47.050
9,211,אור גולן,3:59.514,3:59.164,7:58.678,,57.745
10,64,עמר נאמן,3:58.726,4:01.469,8:00.195,,59.262
אינדורו צ'אלנג' 18-19
