זמן מטרה
מרוץ 1 עונת 2018 - פצאל - 20-01-2018
קטגוריה A
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,49,דקל נער,48.781,47.766,47.530,47.530,-
2,35,גידי קרונין,50.269,49.333,48.253,48.253,0.723
3,42,מור מושקוביץ,50.093,48.760,48.308,48.308,0.778
4,8,פיליפ רוזין,49.870,48.973,49.089,48.973,1.443
5,36,ראם גרוס,51.125,49.332,48.976,48.976,1.446
6,29,אופיר אלחנתי,51.099,49.258,49.513,49.258,1.728
7,10,אסף צרפתי,50.996,50.418,49.535,49.535,2.005
8,26,ניר לוי,51.008,50.391,50.271,50.271,2.741
9,13,דימטרי ספקטור,53.517,51.873,50.950,50.950,3.420
10,30,נדב אלחנתי,51.472,51.287,51.681,51.287,3.757
11,23,אמיר בקשי,55.895,53.018,52.255,52.255,4.725
12,32,אורית סיני,58.477,55.312,54.713,54.713,7.183
קטגוריה B
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,50,גנאדי סרוצאן,48.648,47.842,47.405,47.405,-
2,44,יגאל שריג,49.239,47.563,47.743,47.563,0.158
3,39,טים קורקטין,48.718,47.782,47.693,47.693,0.288
4,17,ניר מי פז,48.442,48.306,48.204,48.204,0.799
5,43,ציון מסיקה,49.325,48.768,49.270,48.768,1.363
6,34,משה סיוון,51.145,48.984,49.391,48.984,1.579
7,38,אמיר אופיר,49.372,49.177,49.356,49.177,1.772
8,19,פטר גרין,50.743,49.320,49.870,49.320,1.915
9,18,חן לוי,50.067,50.317,-,50.067,2.662
10,59,שלומי לוי,52.638,50.804,50.316,50.316,2.911
11,20,יעקב זינגר,51.934,51.014,51.525,51.014,3.609
12,16,איל הלפרין,52.588,51.188,51.339,51.188,3.783
14,12,יניב בירון,56.149,51.946,-,51.946,4.541
15,40,משה ריימונד,53.154,52.551,52.238,52.238,4.833
קטגוריה C
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,63,גיא אמודי,47.321,27:59.723,46.661,46.661,-
2,41,אדיר שי,48.377,47.681,47.319,47.319,0.658
3,48,פיני אלישקוב,48.719,48.267,47.727,47.727,1.066
4,7,לוטן פלג,49.775,48.139,47.872,47.872,1.211
5,22,סימון אלישקוב,48.805,47.951,48.089,47.951,1.290
6,45,קובי חובל,50.778,50.272,48.229,48.229,1.568
7,15,מיכאל ניאזוב,50.404,49.107,48.654,48.654,1.993
8,37,איגור יעקובסון,51.123,49.358,48.898,48.898,2.237
9,57,שקד ברכה,49.516,49.012,48.918,48.918,2.257
10,14,רז רהט,50.652,49.180,49.286,49.180,2.519
11,24,סטס גולברג,52.801,50.863,50.450,50.450,3.789
12,21,אדיר סרור,50.919,-,-,50.919,4.258
13,46,ניר בן ארי,52.352,51.827,51.155,51.155,4.494
14,33,אמיר בריה,53.353,51.524,51.494,51.494,4.833
קטגוריה פתוחה
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,25,שלומי שביב,45.946,46.388,45.515,45.515,-
2,4,מוטי נתן,46.135,46.001,46.791,46.001,0.486
3,52,ערן גומר,46.588,46.361,46.211,46.211,0.696
4,62,ג'ון ציקו,47.327,47.487,47.494,47.327,1.812
5,56,חמאדה עודה,48.843,48.087,47.595,47.595,2.080
6,51,עופר קאשי,47.865,47.702,48.140,47.702,2.187
7,58,שרון דגני פיש,49.145,48.153,47.946,47.946,2.431
8,55,עופר פלג,51.773,49.067,48.990,48.990,3.475
9,53,גיל קהלני,51.153,49.834,-,49.834,4.319
10,61,מוחמד אל עסאוי,55.703,51.368,-,51.368,5.853
11,54,דורון שמשי,53.683,52.653,53.252,52.653,7.138
