זמן מטרה
מרוץ 3 עונת 2018 - ערד - 04-04-2018

קטגוריה A
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,18,בר מושקוביץ,1:15.926,-,1:14.475,1:14.475,-
2,6,ניר מי פז,1:17.680,1:14.730,1:14.994,1:14.730,0.255
3,4,מור מושקוביץ,1:15.393,1:14.962,1:14.921,1:14.921,0.446
4,15,אריאל לוי,1:17.078,1:15.835,1:15.340,1:15.340,0.865
5,7,ראם גרוס,1:17.400,1:16.079,1:16.011,1:16.011,1.536
6,8,אופיר אלחנתי,1:18.217,1:16.214,1:16.633,1:16.214,1.739
7,9,אסף צרפתי,1:16.436,-,-,1:16.436,1.961
8,10,ניר לוי,1:17.576,1:17.147,1:17.080,1:17.080,2.605
9,5,פיליפ רוזין,1:18.570,1:17.448,1:17.560,1:17.448,2.973
10,14,ציון מסיקה,1:19.288,1:17.870,1:20.169,1:17.870,3.395
11,16,יאן פרגמנט,1:20.057,1:18.956,1:18.242,1:18.242,3.767
12,11,גידי קרונין,1:18.684,-,-,1:18.684,4.209
13,12,נדב אלחנתי,1:20.676,1:19.438,1:19.115,1:19.115,4.640
14,19,בן תורג'מן,1:19.641,1:19.625,-,1:19.625,5.150
15,13,אריק אהרוני,1:21.537,1:21.469,1:20.050,1:20.050,5.575
16,83,אורית סיה,1:23.572,1:21.938,1:21.214,1:21.214,6.739
17,17,אלון כספין,1:22.583,1:22.407,1:22.599,1:22.407,7.932

קטגוריה B
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,22,דקל נער,1:13.150,1:12.756,1:12.258,1:12.258,-
2,35,אלי אלבג,1:13.959,1:12.697,1:12.391,1:12.391,0.133
3,23,טים קורוטקין,1:18.377,1:13.063,1:12.799,1:12.799,0.541
4,61,גנאדי סורוצ'אן,1:13.795,1:13.442,1:13.280,1:13.280,1.022
5,44,יגאל שריג,1:13.377,1:13.362,1:13.345,1:13.345,1.087
6,32,אורן אלמזריק,1:14.272,1:13.436,1:13.871,1:13.436,1.178
7,34,פיני אלישקוב,1:14.287,1:14.602,1:14.242,1:14.242,1.984
8,30,קובי כהן,1:15.264,1:14.272,1:14.406,1:14.272,2.014
9,31,עזרא רפאל,1:17.257,1:15.951,1:14.523,1:14.523,2.265
10,29,איל הלפרין,1:16.540,1:15.429,1:14.531,1:14.531,2.273
11,33,שרון ספיבק,1:16.617,1:15.133,1:15.120,1:15.120,2.862
12,39,איגור יעקובסון,1:16.806,1:16.234,1:15.511,1:15.511,3.253
13,24,אמיר אופיר,1:16.008,1:15.545,-,1:15.545,3.287
14,25,חן לוי,1:16.390,1:15.711,1:15.920,1:15.711,3.453
15,28,קובי זינגר,1:18.532,1:18.099,1:16.093,1:16.093,3.835
16,27,משה סיוון,1:17.360,1:16.493,1:17.027,1:16.493,4.235
17,60,תומר בורשטיין,1:33.121,1:19.953,1:17.779,1:17.779,5.521
18,42,איתן אשרי,1:19.277,1:18.523,1:18.407,1:18.407,6.149
19,37,דורון שיפרטו,1:21.704,1:19.909,1:19.512,1:19.512,7.254
20,26,אביתר כהן,1:21.685,1:20.021,1:19.679,1:19.679,7.421
21,38,ארטיום מקרוב,1:22.782,1:21.625,-,1:21.625,9.367
22,40,ישראל טויבר,1:25.904,1:25.760,1:24.047,1:24.047,11.789
23,36,מנחם כץ,-,1:24.563,1:24.827,1:24.563,12.305

קטגוריה C
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,59,גיא אמודי,1:12.110,1:12.589,1:13.056,1:12.110,-
2,55,דורון שימשי,1:13.353,1:15.055,1:14.618,1:13.353,1.243
3,46,חמאדה עודה,1:14.596,1:13.451,1:13.985,1:13.451,1.341
4,57,סימון אלישקוב,1:14.102,1:44.992,1:13.537,1:13.537,1.427
5,45,אדיר שי,1:15.575,1:14.938,1:13.811,1:13.811,1.701
6,56,לוטן פלג,1:15.297,1:16.696,1:14.113,1:14.113,2.003
7,58,שרון נרקיס,1:16.832,1:49.668,1:14.540,1:14.540,2.430
8,49,מיכאל ניאזוב,1:16.390,1:15.461,1:14.569,1:14.569,2.459
9,47,ניב גלנטי,1:15.893,1:14.783,1:15.072,1:14.783,2.673
10,54,משה ריימונד,1:15.272,1:15.740,1:15.404,1:15.272,3.162
11,50,רז הרט,1:16.372,1:15.448,1:16.106,1:15.448,3.338
