זמן מטרה
מרוץ 4 עונת 2018 - פצאל - 28-04-2018

קטגוריה A
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,12,בר מושקוביץ,47.792,46.362,46.127,46.127,-
2,7,ראם גרוס,48.058,46.686,46.180,46.180,0.053
3,4,מור מושקוביץ,47.549,-,46.229,46.229,0.102
4,5,פיליפ רוזין,48.779,47.057,46.233,46.233,0.106
5,10,ניר לוי,49.151,46.939,46.645,46.645,0.518
6,6,ניר מי פז,49.423,47.128,47.098,47.098,0.971
7,13,גידי קרונין,48.635,47.482,47.364,47.364,1.237
8,16,ציון מסיקה,53.408,48.116,49.185,48.116,1.989
9,19,בן תורג'מן,50.972,49.200,48.493,48.493,2.366
10,9,אסף צרפתי,53.136,49.819,48.796,48.796,2.669
11,18,רז גבריאלי,51.169,49.496,49.485,49.485,3.358
12,20,ניצן לוי,-,50.163,50.000,50.000,3.873
13,17,אריק אהרוני,52.363,50.233,51.319,50.233,4.106
14,21,אורית סיני,-,51.310,50.462,50.462,4.335
15,11,יאן פרגמנט,50.497,-,-,50.497,4.370
קטגוריה B
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,25,טים קורוטקין,46.790,45.599,45.640,45.599,-
2,34,אורן אלמזריק,46.653,45.604,45.817,45.604,0.005
3,22,דקל נער,47.079,46.028,45.663,45.663,0.064
4,37,אלי אלבג,-,45.739,46.283,45.739,0.140
5,23,גנאדי סורוצ'אן,-,46.043,45.797,45.797,0.198
6,33,עזרא רפאל,47.394,-,45.970,45.970,0.371
7,44,יגאל שריג,47.562,-,46.201,46.201,0.602
8,35,שרון ספיבק,47.612,46.859,46.279,46.279,0.680
9,28,אמיר אופיר,47.716,-,46.351,46.351,0.752
10,30,קובי כהן,46.442,-,-,46.442,0.843
11,31,איל הלפרין,48.279,48.132,46.830,46.830,1.231
12,27,חן לוי,48.319,47.674,47.693,47.674,2.075
13,29,משה סיוון,50.117,-,47.811,47.811,2.212
14,36,איתן אשרי,49.338,48.235,48.742,48.235,2.636
15,40,ארטיום מקרוב,49.567,48.677,48.517,48.517,2.918
16,32,קובי זינגר,-,49.332,48.632,48.632,3.033
17,39,דורון שיפרטו,51.677,50.157,50.203,50.157,4.558
18,38,מנחם כץ,53.350,52.224,-,52.224,6.625
קטגוריה C
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,42,גיא אמודי,46.532,45.089,-,45.089,-
2,57,דורון שימשי,46.105,45.743,45.712,45.712,0.623
3,59,סימון אלישקוב,46.590,45.757,45.750,45.750,0.661
4,45,פיני אלישקוב,46.219,46.103,46.188,46.103,1.014
5,47,לוטן פלג,47.110,46.582,46.188,46.188,1.099
6,24,חמאדה עודה,48.193,46.773,-,46.773,1.684
7,55,משה ריימונד,48.808,47.101,46.889,46.889,1.800
8,46,ניב גלנטי,-,47.313,46.954,46.954,1.865
9,48,קובי חובל,48.903,47.225,-,47.225,2.136
10,51,סטס גולברג,51.189,49.246,48.432,48.432,3.343
11,53,ניר בן ארי,49.285,49.545,48.547,48.547,3.458
12,54,אמיר בריה,51.326,49.683,48.778,48.778,3.689
13,52,אדיר סרור,49.979,49.116,-,49.116,4.027
14,56,אורון אוטמזגין,51.003,50.443,53.729,50.443,5.354
15,49,מיכאל ניאזוב,-,-,-,-,-
קטגוריה פתוחה
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,60,שלומי שביב,43.377,42.798,42.944,42.798,-
2,62,ערן גומר,45.097,44.384,43.948,43.948,1.150
3,63,ג'ון ציקו,45.312,44.269,44.561,44.269,1.471
4,61,מוטי נתן,46.135,45.399,44.339,44.339,1.541
5,67,יואב פז,45.686,45.295,44.952,44.952,2.154
6,66,גיל קהלני,46.041,45.008,45.297,45.008,2.210
7,68,און יעקובסון,46.072,45.865,45.517,45.517,2.719
8,69,אולג וסילקוב,47.285,46.478,46.213,46.213,3.415
9,64,עופר קאשי,46.411,-,-,46.411,3.613
10,74,עבדאללה אבו מוח,48.343,-,46.441,46.441,3.643
11,73,חביב אלבחירי,47.254,-,46.675,46.675,3.877
12,70,אמיר בקשי,47.623,47.091,47.115,47.091,4.293
13,72,שרון נרקיס,49.238,-,48.557,48.557,5.759

© כל הזכויות שמורות לתנועה מדידת זמנים
