זמן מטרה
מרוץ 1 עונת 2017 - ערד - 22-12-2017

קטגוריה א' - עד 200 כח סוּס
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה מהירה,פער
1,11,אסף צרפתי,4,55.973,55.965,57.161,1:03.087,55.965,-
2,12,ניר לוי,4,58.207,57.834,57.766,57.653,57.653,1.688
3,30,משה ריימונד,4,58.778,58.303,58.399,58.001,58.001,2.036
4,24,שחר אלגזי,4,59.397,59.028,1:00.817,59.236,59.028,3.063
5,14,שרון ספיבק,4,59.637,59.794,59.996,1:00.108,59.637,3.672
6,15,דימיטרי ספקטור,4,1:04.512,1:00.192,1:00.268,1:00.480,1:00.192,4.227
7,13,צוף בר שדה,4,1:09.263,1:08.363,1:09.838,1:09.810,1:08.363,12.398

קטגוריה ב' - 200 - 400 כח סוּס
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה מהירה,פער
1,22,ניר מי פז,4,54.523,55.057,55.174,55.111,54.523,-
2,16,איל הלפרין,4,57.152,56.873,56.644,56.593,56.593,2.070
3,25,בדיר בדיר,4,57.238,56.985,57.000,59.987,56.985,2.462
4,21,פיליפ רוזין,4,58.124,57.872,57.093,57.165,57.093,2.570
5,20,שלומי לוי,4,58.368,57.720,57.203,57.907,57.203,2.680
6,18,צחי נגר,4,58.447,57.931,57.512,58.239,57.512,2.989
7,19,פלג זורבי,4,1:00.574,1:00.864,1:00.828,1:00.774,1:00.574,6.051
8,32,ארז סבג,4,1:00.695,1:00.726,1:01.344,1:01.196,1:00.695,6.172

קטגוריה ג' - מעל 400 כח סוּס
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה מהירה,פער
1,27,שלומי שביב,4,52.600,52.550,52.941,52.419,52.419,-
2,29,מוטי נתן,4,53.150,52.431,53.115,52.520,52.431,0.012
3,17,שקד ברכה,4,54.412,54.013,54.245,54.747,54.013,1.594
4,36,סימון אלישקוב,4,54.051,54.240,54.529,54.439,54.051,1.632
5,35,כפיר צליח,4,54.438,54.477,54.799,54.553,54.438,2.019
6,23,אולג וסיליקוב,4,54.545,56.120,54.857,55.355,54.545,2.126
7,26,דקל נער,4,54.587,54.703,54.571,54.857,54.571,2.152
8,31,אלי אלבג,4,54.728,55.117,54.875,55.416,54.728,2.309
9,37,פיני אלישקוב,4,55.823,55.598,54.820,55.199,54.820,2.401
10,38,לוטן פלג,4,55.997,55.389,55.361,56.208,55.361,2.942
11,34,מיכאל ניאזוב,4,56.729,55.844,57.146,56.433,55.844,3.425
12,33,גל מן,4,1:00.189,1:00.142,1:00.920,1:00.438,1:00.142,7.723

קטגוריה א' - עד 200 כח סוּס
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה מהירה,פער
1,11,אסף צרפתי,4,55.316,55.239,56.579,57.038,55.239,-
2,12,ניר לוי,4,57.801,57.559,57.455,57.151,57.151,1.912
3,30,משה ריימונד,4,58.295,58.156,58.528,58.611,58.156,2.917
4,15,דימיטרי ספקטור,4,1:00.489,59.079,1:00.024,59.194,59.079,3.840
